Model,mean_fit_time,mean_score_time,mean_test_score
2,15.134921264648437,4.409667110443115,0.53
2,18.425417184829712,3.5474079608917237,0.53
2,5.984649610519409,1.1585609912872314,0.36
2,4.032211065292358,0.9135213851928711,0.36
2,10.802059316635132,3.4798475742340087,0.73
2,12.985674381256104,3.2585004806518554,0.74
2,5.1934160709381105,1.1917824745178223,0.36
2,3.3387632369995117,0.7453643321990967,0.36
2,9.756671571731568,3.086461067199707,0.74
2,11.316806173324585,2.93302698135376,0.75
2,4.501350021362304,0.9200653076171875,0.22
2,3.347310447692871,0.7877565383911133,0.22
2,19.510542488098146,4.696560478210449,0.28
2,22.76983880996704,3.8401342391967774,0.28
2,6.427186918258667,1.417652416229248,0.29
2,4.609673404693604,0.9569470405578613,0.28
2,16.74766402244568,4.720813894271851,0.54
2,20.664891529083253,3.631531238555908,0.54
2,5.62471923828125,1.2305157661437989,0.36
2,4.031428670883178,0.8296483993530274,0.36
2,9.997851133346558,2.91402645111084,0.74
2,12.4574631690979,3.3452460765838623,0.75
2,5.079195356369018,1.0952733039855957,0.22
2,3.473348379135132,0.7675119876861572,0.22
2,18.992733907699584,4.696341466903687,0.28
2,21.957719564437866,3.572327423095703,0.28
2,6.188404130935669,1.3237849235534669,0.22
2,4.244052314758301,0.9055218696594238,0.22
2,20.202027559280396,4.6494231700897215,0.34
2,22.364607429504396,3.951167678833008,0.34
2,5.567457103729248,1.2004620552062988,0.4
2,4.377637815475464,0.8676251411437989,0.4
2,6.84050612449646,2.18744478225708,0.8
2,7.321494817733765,2.0397801876068113,0.8
2,3.470100212097168,0.7779730796813965,0.26
2,3.13618860244751,0.7599676132202149,0.26
2,9.747695159912109,2.9638509273529055,0.72
2,11.963270568847657,2.785484027862549,0.72
2,4.313675832748413,0.9132524490356445,0.4
2,2.997140407562256,0.6972932338714599,0.4
2,6.493035459518433,2.0510401725769043,0.68
2,7.099671220779419,2.083603525161743,0.68
2,3.718126916885376,0.7326288223266602,0.4
2,2.890343761444092,0.7045269012451172,0.4
2,6.707459449768066,2.092143154144287,0.8
2,6.664733409881592,2.038584756851196,0.8
2,3.569086694717407,0.7746068477630615,0.22
2,3.2633738040924074,0.7787567615509033,0.22
2,18.014223718643187,4.18427996635437,0.28
2,21.198421144485472,3.761588144302368,0.28
2,5.239312744140625,1.107424020767212,0.36
2,4.327905893325806,0.9663416862487793,0.36
2,9.843387603759766,3.367769956588745,0.74
2,11.949209594726563,3.321032094955444,0.74
2,4.617878150939942,0.9355996131896973,0.4
2,3.0070672035217285,0.6974561214447021,0.4
2,7.174871110916138,2.347306489944458,0.8
2,7.69843282699585,2.3556826591491697,0.8
2,3.793747901916504,0.7911490440368653,0.22
2,3.184048795700073,0.758242130279541,0.22
2,17.02843246459961,4.562756824493408,0.28
2,21.360060834884642,3.6786829948425295,0.28
2,5.801941156387329,1.3906449317932128,0.22
2,4.676989793777466,0.880461597442627,0.22
2,19.989869260787962,4.342464542388916,0.34
2,23.403161811828614,3.853284215927124,0.34
2,5.853508996963501,1.3006778240203858,0.41
2,4.526944732666015,0.947513198852539,0.41
2,5.916026639938354,1.5682976722717286,0.81
2,6.09431037902832,1.6916251182556152,0.81
2,3.3676885604858398,0.7650760173797607,0.28
2,3.146357202529907,0.7457831382751465,0.28
2,7.337791061401367,2.116350698471069,0.78
2,8.474751853942871,2.5297241687774656,0.78
2,3.650879240036011,0.8633393287658692,0.41
2,3.0958584785461425,0.7674774646759033,0.41
2,5.8050014019012455,1.8929768562316895,0.62
2,5.780794143676758,1.5630381107330322,0.62
2,2.854299783706665,0.6631474018096923,0.41
2,2.9062294483184816,0.7336725711822509,0.41
2,6.269181203842163,2.0581003189086915,0.81
2,7.872891759872436,2.340126895904541,0.81
2,5.244466829299927,1.1650087356567382,0.22
2,5.579764890670776,1.1271422863006593,0.22
2,29.428660202026368,6.496623373031616,0.3
2,33.62700505256653,4.721491718292237,0.3
2,9.123405313491821,2.020276594161987,0.4
2,5.593285703659058,1.196273422241211,0.4
2,8.908471632003785,2.9066449642181396,0.8
2,10.031997680664062,3.0071101665496824,0.8
2,4.973335933685303,1.0621480464935302,0.41
2,4.277320814132691,0.9560516834259033,0.41
2,7.4229593753814695,2.1757057666778565,0.81
2,8.814429521560669,2.3813971042633058,0.81
2,5.268844747543335,1.1894209384918213,0.22
2,4.754556703567505,1.2227388858795165,0.22
2,25.62495050430298,6.725348854064942,0.28
2,31.95647644996643,5.070805644989013,0.28
2,8.87255597114563,1.9697826862335206,0.29
2,6.5067554950714115,1.3815944194793701,0.28
2,28.745284414291383,5.976446962356567,0.54
2,30.852486276626585,3.537516450881958,0.54
3,3.83368501663208,0.8611660957336426,0.42
3,3.7028996467590334,0.8941410541534424,0.42
3,4.01389627456665,0.7801638603210449,0.64
3,3.8581984519958494,0.9586416244506836,0.65
3,4.448150491714477,1.0090677261352539,0.42
3,4.260676527023316,1.1129537105560303,0.42
3,5.403498315811158,1.0897095680236817,0.72
3,6.137934589385987,1.200543212890625,0.71
3,4.998303461074829,1.1079988479614258,0.42
3,4.739481258392334,1.0071948051452637,0.42
3,6.286727714538574,1.0984521865844727,0.72
3,7.199815464019776,1.2832715511322021,0.72
3,4.5127442359924315,1.0888272762298583,0.42
3,3.781880807876587,0.8920904159545898,0.42
3,4.442586851119995,1.029643726348877,0.66
3,3.8373950004577635,0.7822400569915772,0.65
3,3.5765895366668703,0.8951340198516846,0.42
3,3.6124629974365234,0.8731693267822266,0.42
3,4.811458253860474,1.0378486156463622,0.72
3,5.6951367378234865,1.139949893951416,0.72
3,4.689732360839844,1.0901706218719482,0.42
