Model,mean_fit_time,mean_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_split,param_clf__n_estimators,param_k_best__k,param_k_best__score_func,param_tfidf__analyzer,param_tfidf__smooth_idf,mean_test_score,rank_test_score
3,12.539707803726197,1.4605650424957275,,auto,10,100,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.48,22
3,13.126639795303344,1.2805315017700196,,auto,10,100,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.48,24
3,5.568228769302368,1.1976493835449218,,auto,10,200,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.18,92
3,5.218012094497681,1.17265043258667,,auto,10,200,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.18,87
3,23.165979194641114,1.983878231048584,,auto,10,200,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.49,14
3,28.670162773132326,1.5063580513000487,,auto,10,200,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.49,16
3,7.962613725662232,1.676142120361328,,auto,40,10,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,133
3,5.10002384185791,1.206022357940674,,auto,40,10,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,144
3,5.2623754978179935,1.1508356094360352,,auto,40,10,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.43,53
3,5.184018611907959,1.1446999549865722,,auto,40,10,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.44,51
3,4.795580291748047,1.0949461460113525,,auto,40,100,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.18,80
3,4.661750459671021,1.1201237201690675,,auto,40,100,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.18,74
3,9.746400117874146,1.2511296272277832,,auto,40,100,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.49,20
3,9.49669327735901,1.2394160270690917,,auto,40,100,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.49,18
3,5.187637424468994,1.155528450012207,,auto,40,200,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.18,90
3,5.230727767944336,1.181972360610962,,auto,40,200,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.18,79
3,16.656126689910888,1.7194484233856202,,auto,40,200,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.49,13
3,17.316630792617797,1.5449768543243407,,auto,40,200,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.49,15
3,5.040196323394776,1.2904033660888672,,auto,80,10,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,134
3,4.708711051940918,1.1539583683013916,,auto,80,10,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.18,85
3,5.244950008392334,1.1264853477478027,,auto,80,10,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.44,52
3,4.831810426712036,1.1192509651184082,,auto,80,10,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.44,50
3,4.8856454372406,1.1967667579650878,,auto,80,100,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.18,77
3,4.976474714279175,1.1766451835632323,,auto,80,100,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,108
3,8.770080327987671,1.2425844192504882,,auto,80,100,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.48,23
3,8.358151769638061,1.1945138454437256,,auto,80,100,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.49,21
3,5.161640977859497,1.1573206901550293,,auto,80,200,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.18,76
3,5.211896896362305,1.207955265045166,,auto,80,200,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.18,84
3,12.531350040435791,1.3314916610717773,,auto,80,200,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.49,17
3,12.098145246505737,1.2634142875671386,,auto,80,200,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.49,19
3,4.754321813583374,1.1193995952606202,,10,10,10,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,119
3,4.656099557876587,1.1279382228851318,,10,10,10,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,135
3,5.265505838394165,1.1291265487670898,,10,10,10,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.41,58
3,5.2121823787689205,1.1522459983825684,,10,10,10,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.41,60
3,5.170433425903321,1.2160262584686279,,10,10,100,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,99
3,4.89855055809021,1.120656633377075,,10,10,100,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,107
3,10.749300289154053,1.3723329544067382,,10,10,100,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.5,10
3,10.343942594528198,1.259794569015503,,10,10,100,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.5,9
3,5.5257514953613285,1.1672456741333008,,10,10,200,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,102
3,5.5079998016357425,1.2331318378448486,,10,10,200,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,116
3,16.36420259475708,1.5190610885620117,,10,10,200,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.51,1
3,17.733912992477418,1.3898257732391357,,10,10,200,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.5,3
3,5.619513940811157,1.3566372871398926,,10,40,10,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.18,91
3,4.608304882049561,1.1394836902618408,,10,40,10,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,120
3,5.155889320373535,1.171027135848999,,10,40,10,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.43,54
3,5.091711854934692,1.1497932434082032,,10,40,10,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.43,55
3,5.032866144180298,1.1179045677185058,,10,40,100,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,105
3,4.860674095153809,1.2121790409088136,,10,40,100,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.18,81
3,8.428191375732421,1.2624606609344482,,10,40,100,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.5,7
3,8.453286933898926,1.2982895374298096,,10,40,100,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.5,6
3,5.618499660491944,1.2453493118286132,,10,40,200,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.18,88
3,5.50257830619812,1.2111997127532959,,10,40,200,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.18,75
3,12.397992753982544,1.482884454727173,,10,40,200,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.51,2
3,12.003085947036743,1.357097053527832,,10,40,200,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.5,4
3,5.0272218704223635,1.188522958755493,,10,80,10,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,112
3,4.75009822845459,1.1602065563201904,,10,80,10,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,124
3,4.983447790145874,1.179225206375122,,10,80,10,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.43,56
3,5.050756168365479,1.192608404159546,,10,80,10,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.44,49
3,5.021994924545288,1.1292591094970703,,10,80,100,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,127
3,4.926932239532471,1.155367136001587,,10,80,100,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,122
3,7.192097473144531,1.2711081027984619,,10,80,100,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.49,11
3,6.895577144622803,1.255932378768921,,10,80,100,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.49,12
3,5.478661346435547,1.214894676208496,,10,80,200,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,123
3,5.264250707626343,1.1694125175476073,,10,80,200,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,132
3,9.179240226745605,1.2757745265960694,,10,80,200,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.5,8
3,8.664761209487915,1.1096450805664062,,10,80,200,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.5,5
