Model,mean_fit_time,mean_score_time,param_SVC__C,param_SVC__gamma,param_SVC__kernel,param_k_best__k,param_k_best__score_func,param_tfidf__analyzer,param_tfidf__smooth_idf,mean_test_score,rank_test_score
2,0.08439321517944336,0.01590900421142578,100,1,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.11,74
2,0.09370770454406738,0.018779897689819337,100,1,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.12,69
2,0.10655288696289063,0.023218917846679687,100,1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.19,19
2,0.09951887130737305,0.021655559539794922,100,1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.19,27
2,0.10668540000915527,0.021871376037597656,100,1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.25,11
2,0.11196074485778809,0.025841379165649415,100,1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.25,11
2,0.11378631591796876,0.023153972625732423,100,0.1,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.19,19
2,0.11589670181274414,0.02309718132019043,100,0.1,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.19,19
2,0.11906576156616211,0.024300813674926758,100,0.1,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.24,16
2,0.11050782203674317,0.024418163299560546,100,0.1,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.25,11
2,0.10187721252441406,0.02166924476623535,100,0.1,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.1,85
2,0.10258913040161133,0.021655559539794922,100,0.1,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.10862483978271484,0.0235231876373291,100,0.1,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.11288704872131347,0.024651288986206055,100,0.1,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.1091463565826416,0.023500394821166993,100,0.1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.18,37
2,0.11247334480285645,0.024234628677368163,100,0.1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.19,27
2,0.11899418830871582,0.025205612182617188,100,0.1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.27,6
2,0.11401958465576172,0.024230813980102538,100,0.1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.28,2
2,0.11691246032714844,0.022044849395751954,100,0.001,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.19,19
2,0.11923131942749024,0.024054908752441408,100,0.001,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.19,19
2,0.11237354278564453,0.022914361953735352,100,0.001,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.24,16
2,0.11574130058288574,0.023486232757568358,100,0.001,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.25,11
2,0.11152257919311523,0.02264852523803711,100,0.001,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.1,85
2,0.11352934837341308,0.02456831932067871,100,0.001,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11632938385009765,0.024683761596679687,100,0.001,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.12269997596740723,0.024331188201904295,100,0.001,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11638455390930176,0.024654626846313477,100,0.001,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.09967179298400879,0.020717763900756837,100,0.001,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.10438694953918456,0.020451831817626952,100,0.001,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.13,57
2,0.08475203514099121,0.015995264053344727,100,0.001,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.14,48
